Event_ID, Event_Name, Min_Price, Max_Price, Date
vvG1HZ9KD5yVsh,Ed Sheeran: +-=÷x Tour,49.0,154.0
vvG1HZ9KD5yVsh,Ed Sheeran: +-=÷x Tour,49.0,154.0,2023-05-06 14:26:03.414599
vvG1HZ9KD5yVsh,Ed Sheeran: +-=÷x Tour,49.0,154.0,2023-05-06 15:11:03.056266
vvG1HZ9pk8jo1v,Paramore,40.5,156.0,2023-05-06 15:32:04.033520
